Item,RiskScore,Vol_5y,Exposure,SupplyRisk
"Other vegetables, fresh n.e.c.",0.6999999999890044,67.70281414542424,1,55.44145596005119
"Other vegetables, fresh n.e.c.",0.6987146729653766,67.52880815280349,1,55.44145596005119
"Other vegetables, fresh n.e.c.",0.6077032090017516,55.20778802661073,1,55.44145596005119
Potatoes,0.4254045118285402,38.8779057930058,1,38.35167460119405
Potatoes,0.4224052561645253,38.47187024769586,1,38.35167460119405
Potatoes,0.37330227935856414,31.824369601798917,1,38.35167460119405
Cabbages,0.20362157760661811,18.444864081451986,1,18.71941744875786
Cabbages,0.2009595422306957,18.0844810042554,1,18.71941744875786
Sweet potatoes,0.19414508097112398,17.57937975972511,1,17.865015208551736
Sweet potatoes,0.1924608251800088,17.351367280898476,1,17.865015208551736
Cabbages,0.1773432123229456,14.887331288956968,1,18.71941744875786
Sweet potatoes,0.1698024119689405,14.283899150589711,1,17.865015208551736
"Onions and shallots, dry (excluding dehydrated)",0.14096538123886004,13.548921353358326,1,11.378804533852014
"Onions and shallots, dry (excluding dehydrated)",0.13777825428543222,13.117452023806496,1,11.378804533852014
"Onions and shallots, green",0.13600619222862603,12.806579787434517,1,11.524071721933472
"Onions and shallots, green",0.13546808374763417,12.733731322684784,1,11.524071721933472
Green corn (maize),0.12754206725629974,11.60257854973788,1,11.643069700229866
Green corn (maize),0.12537913053629446,11.30976283512068,1,11.643069700229866
"Onions and shallots, dry (excluding dehydrated)",0.1212429076959739,10.878917126667435,1,11.378804533852014
"Onions and shallots, green",0.11822669163596963,10.399612850573366,1,11.524071721933472
Lettuce and chicory,0.11385660766829356,10.67332064385636,1,9.752921354543833
Spinach,0.11291194739265321,10.32462592627019,1,10.204871823958658
Lettuce and chicory,0.1128552502150728,10.537758102640923,1,9.752921354543833
Green corn (maize),0.1112792754269229,9.400941781012568,1,11.643069700229866
Spinach,0.11097251417423502,10.0620678409823,1,10.204871823958658
Lettuce and chicory,0.09860692557544189,8.608837426015118,1,9.752921354543833
Cauliflowers and broccoli,0.09842018796971781,9.940505739858178,1,6.975512005294016
Cauliflowers and broccoli,0.09802713592004203,9.887294836486356,1,6.975512005294016
Spinach,0.09799069992710206,8.304605784583021,1,10.204871823958658
Carrots and turnips,0.09733732289774644,8.790188216643203,1,9.029932401986713
Carrots and turnips,0.0935896444392836,8.282832113332145,1,9.029932401986713
Cauliflowers and broccoli,0.0850365477837465,8.128644981756526,1,6.975512005294016
"Pumpkins, squash and gourds",0.08456059562673512,7.760004343241534,1,7.598164074849171
Carrots and turnips,0.08393119511898875,6.975283115870377,1,9.029932401986713
"Pumpkins, squash and gourds",0.08388659496741717,7.66875896241959,1,7.598164074849171
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",0.07652505860933562,7.7089904808217184,1,5.4759807538597
"Pumpkins, squash and gourds",0.07369723814445256,6.289336359802376,1,7.598164074849171
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",0.07238422040439219,7.148408894277772,1,5.4759807538597
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",0.06512387356714666,6.165512063384085,1,5.4759807538597
Taro,0.061848793177896294,5.366600347489886,1,6.203692336002431
Tomatoes,0.059861483383812156,5.642611806739804,1,5.088079139448044
Taro,0.05949835999755701,5.048401592530773,1,6.203692336002431
Cucumbers and gherkins,0.05432691655591456,4.932382241265376,1,5.008185604791731
Taro,0.05359562340402638,4.249296367747521,1,6.203692336002431
Tomatoes,0.052811386723961906,4.688178386436436,1,5.088079139448044
Tomatoes,0.05276356051977388,4.681703733698231,1,5.088079139448044
Watermelons,0.05182518545662107,4.529699506039812,1,5.139184106727297
Cucumbers and gherkins,0.04894858421427201,4.204270219540109,1,5.008185604791731
Cucumbers and gherkins,0.04730660507041827,3.9819811012561033,1,5.008185604791731
Watermelons,0.04664334366258269,3.8281881331361616,1,5.139184106727297
Watermelons,0.04546768352023156,3.66902870810746,1,5.139184106727297
Eggplants (aubergines),0.04512560575240158,4.049415189402222,1,4.265819436955951
Eggplants (aubergines),0.04038720632093468,3.407936498493812,1,4.265819436955951
Eggplants (aubergines),0.03909483741721204,3.2329771848012383,1,4.265819436955951
Yams,0.03623306426357435,3.362092538585069,1,3.2085654240553767
Cantaloupes and other melons,0.035580063106635036,3.005563947756985,1,3.7573672846206057
Cantaloupes and other melons,0.0331371216173358,2.674841531635899,1,3.7573672846206057
